1,Newark Airport,EWR,newark
88,Financial District South,Manhattan,manhattan_below_60
89,Flatbush/Ditmas Park,Brooklyn,brooklyn
90,Flatiron,Manhattan,manhattan_below_60
91,Flatlands,Brooklyn,brooklyn
92,Flushing,Queens,queens_ex_airports
93,Flushing Meadows-Corona Park,Queens,queens_ex_airports
94,Fordham South,Bronx,bronx
95,Forest Hills,Queens,queens_ex_airports
96,Forest Park/Highland Park,Queens,queens_ex_airports
97,Fort Greene,Brooklyn,brooklyn
98,Fresh Meadows,Queens,queens_ex_airports
99,Freshkills Park,Staten Island,staten_island
100,Garment District,Manhattan,manhattan_below_60
101,Glen Oaks,Queens,queens_ex_airports
102,Glendale,Queens,queens_ex_airports
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,manhattan_other
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,manhattan_other
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,manhattan_other
106,Gowanus,Brooklyn,brooklyn
107,Gramercy,Manhattan,manhattan_below_60
108,Gravesend,Brooklyn,brooklyn
109,Great Kills,Staten Island,staten_island
110,Great Kills Park,Staten Island,staten_island
111,Green-Wood Cemetery,Brooklyn,brooklyn
112,Greenpoint,Brooklyn,brooklyn
113,Greenwich Village North,Manhattan,manhattan_below_60
114,Greenwich Village South,Manhattan,manhattan_below_60
115,Grymes Hill/Clifton,Staten Island,staten_island
116,Hamilton Heights,Manhattan,manhattan_other
117,Hammels/Arverne,Queens,queens_ex_airports
118,Heartland Village/Todt Hill,Staten Island,staten_island
119,Highbridge,Bronx,bronx
120,Highbridge Park,Manhattan,manhattan_other
121,Hillcrest/Pomonok,Queens,queens_ex_airports
122,Hollis,Queens,queens_ex_airports
123,Homecrest,Brooklyn,brooklyn
124,Howard Beach,Queens,queens_ex_airports
125,Hudson Sq,Manhattan,manhattan_below_60
126,Hunts Point,Bronx,bronx
127,Inwood,Manhattan,manhattan_other
128,Inwood Hill Park,Manhattan,manhattan_other
129,Jackson Heights,Queens,queens_ex_airports
130,Jamaica,Queens,queens_ex_airports
131,Jamaica Estates,Queens,queens_ex_airports
132,JFK Airport,Queens,airports
133,Kensington,Brooklyn,brooklyn
134,Kew Gardens,Queens,queens_ex_airports
135,Kew Gardens Hills,Queens,queens_ex_airports
136,Kingsbridge Heights,Bronx,bronx
137,Kips Bay,Manhattan,manhattan_below_60
138,LaGuardia Airport,Queens,airports
139,Laurelton,Queens,queens_ex_airports
140,Lenox Hill East,Manhattan,manhattan_60_96
141,Lenox Hill West,Manhattan,manhattan_60_96
142,Lincoln Square East,Manhattan,manhattan_60_96
143,Lincoln Square West,Manhattan,manhattan_60_96
144,Little Italy/NoLiTa,Manhattan,manhattan_below_60
145,Long Island City/Hunters Point,Queens,queens_ex_airports
146,Long Island City/Queens Plaza,Queens,queens_ex_airports
147,Longwood,Bronx,bronx
148,Lower East Side,Manhattan,manhattan_below_60
149,Madison,Brooklyn,brooklyn
150,Manhattan Beach,Brooklyn,brooklyn
151,Manhattan Valley,Manhattan,manhattan_other
152,Manhattanville,Manhattan,manhattan_other
153,Marble Hill,Manhattan,manhattan_other
154,Marine Park/Floyd Bennett Field,Brooklyn,brooklyn
155,Marine Park/Mill Basin,Brooklyn,brooklyn
156,Mariners Harbor,Staten Island,staten_island
157,Maspeth,Queens,queens_ex_airports
158,Meatpacking/West Village West,Manhattan,manhattan_below_60
159,Melrose South,Bronx,bronx
160,Middle Village,Queens,queens_ex_airports
161,Midtown Center,Manhattan,manhattan_below_60
162,Midtown East,Manhattan,manhattan_below_60
163,Midtown North,Manhattan,manhattan_below_60
164,Midtown South,Manhattan,manhattan_below_60
165,Midwood,Brooklyn,brooklyn
166,Morningside Heights,Manhattan,manhattan_other
167,Morrisania/Melrose,Bronx,bronx
168,Mott Haven/Port Morris,Bronx,bronx
169,Mount Hope,Bronx,bronx
170,Murray Hill,Manhattan,manhattan_below_60
171,Murray Hill-Queens,Queens,queens_ex_airports
172,New Dorp/Midland Beach,Staten Island,staten_island
173,North Corona,Queens,queens_ex_airports
174,Norwood,Bronx,bronx
175,Oakland Gardens,Queens,queens_ex_airports
176,Oakwood,Staten Island,staten_island
177,Ocean Hill,Brooklyn,brooklyn
178,Ocean Parkway South,Brooklyn,brooklyn
179,Old Astoria,Queens,queens_ex_airports
180,Ozone Park,Queens,queens_ex_airports
181,Park Slope,Brooklyn,brooklyn
182,Parkchester,Bronx,bronx
183,Pelham Bay,Bronx,bronx
184,Pelham Bay Park,Bronx,bronx
185,Pelham Parkway,Bronx,bronx
186,Penn Station/Madison Sq West,Manhattan,manhattan_below_60
187,Port Richmond,Staten Island,staten_island
188,Prospect-Lefferts Gardens,Brooklyn,brooklyn
189,Prospect Heights,Brooklyn,brooklyn
190,Prospect Park,Brooklyn,brooklyn
191,Queens Village,Queens,queens_ex_airports
192,Queensboro Hill,Queens,queens_ex_airports
193,Queensbridge/Ravenswood,Queens,queens_ex_airports
194,Randalls Island,Manhattan,manhattan_other
195,Red Hook,Brooklyn,brooklyn
196,Rego Park,Queens,queens_ex_airports
197,Richmond Hill,Queens,queens_ex_airports
198,Ridgewood,Queens,queens_ex_airports
199,Rikers Island,Bronx,bronx
200,Riverdale/North Riverdale/Fieldston,Bronx,bronx
201,Rockaway Park,Queens,queens_ex_airports
202,Roosevelt Island,Manhattan,manhattan_other
203,Rosedale,Queens,queens_ex_airports
204,Rossville/Woodrow,Staten Island,staten_island
205,Saint Albans,Queens,queens_ex_airports
206,Saint George/New Brighton,Staten Island,staten_island
207,Saint Michaels Cemetery/Woodside,Queens,queens_ex_airports
208,Schuylerville/Edgewater Park,Bronx,bronx
209,Seaport,Manhattan,manhattan_below_60
210,Sheepshead Bay,Brooklyn,brooklyn
211,SoHo,Manhattan,manhattan_below_60
212,Soundview/Bruckner,Bronx,bronx
213,Soundview/Castle Hill,Bronx,bronx
214,South Beach/Dongan Hills,Staten Island,staten_island
215,South Jamaica,Queens,queens_ex_airports
216,South Ozone Park,Queens,queens_ex_airports
217,South Williamsburg,Brooklyn,brooklyn
218,Springfield Gardens North,Queens,queens_ex_airports
219,Springfield Gardens South,Queens,queens_ex_airports
220,Spuyten Duyvil/Kingsbridge,Bronx,bronx
221,Stapleton,Staten Island,staten_island
222,Starrett City,Brooklyn,brooklyn
223,Steinway,Queens,queens_ex_airports
224,Stuy Town/Peter Cooper Village,Manhattan,manhattan_below_60
225,Stuyvesant Heights,Brooklyn,brooklyn
226,Sunnyside,Queens,queens_ex_airports
227,Sunset Park East,Brooklyn,brooklyn
228,Sunset Park West,Brooklyn,brooklyn
229,Sutton Place/Turtle Bay North,Manhattan,manhattan_below_60
230,Times Sq/Theatre District,Manhattan,manhattan_below_60
231,TriBeCa/Civic Center,Manhattan,manhattan_below_60
232,Two Bridges/Seward Park,Manhattan,manhattan_below_60
233,UN/Turtle Bay South,Manhattan,manhattan_below_60
234,Union Sq,Manhattan,manhattan_below_60
235,University Heights/Morris Heights,Bronx,bronx
236,Upper East Side North,Manhattan,manhattan_60_96
237,Upper East Side South,Manhattan,manhattan_60_96
238,Upper West Side North,Manhattan,manhattan_60_96
239,Upper West Side South,Manhattan,manhattan_60_96
240,Van Cortlandt Park,Bronx,bronx
241,Van Cortlandt Village,Bronx,bronx
242,Van Nest/Morris Park,Bronx,bronx
243,Washington Heights North,Manhattan,manhattan_other
244,Washington Heights South,Manhattan,manhattan_other
245,West Brighton,Staten Island,staten_island
246,West Chelsea/Hudson Yards,Manhattan,manhattan_below_60
247,West Concourse,Bronx,bronx
248,West Farms/Bronx River,Bronx,bronx
249,West Village,Manhattan,manhattan_below_60
250,Westchester Village/Unionport,Bronx,bronx
251,Westerleigh,Staten Island,staten_island
252,Whitestone,Queens,queens_ex_airports
253,Willets Point,Queens,queens_ex_airports
254,Williamsbridge/Olinville,Bronx,bronx
255,Williamsburg (North Side),Brooklyn,brooklyn
256,Williamsburg (South Side),Brooklyn,brooklyn
257,Windsor Terrace,Brooklyn,brooklyn
258,Woodhaven,Queens,queens_ex_airports
259,Woodlawn/Wakefield,Bronx,bronx
260,Woodside,Queens,queens_ex_airports
261,World Trade Center,Manhattan,manhattan_below_60
262,Yorkville East,Manhattan,manhattan_60_96
263,Yorkville West,Manhattan,manhattan_60_96
